"date"
"15-Aug-2018 5:35:00 PM PDT"
"18-Jul-2020 9:18:04 AM PDT"
"12-Dec-2018 8:04:43 AM PST"
"02-Jul-2020 7:34:07 PM PDT"
"24-Jun-2020 9:20:43 AM PDT"
"17-May-2018 4:08:47 PM PDT"
"12-Dec-2018 3:43:33 PM PST"
"02-Jun-2020 4:36:14 PM PDT"
"14-Mar-2019 12:34:50 PM PDT"
"21-Sep-2018 4:41:59 PM PDT"
"31-Oct-2017 9:29:28 PM PDT"
"03-Mar-2019 4:18:49 PM PST"
"15-Feb-2019 2:37:13 AM PST"
"07-Apr-2018 9:38:47 AM PDT"
"04-Apr-2018 4:02:33 PM PDT"
"27-Mar-2019 1:49:17 PM PDT"
"23-Feb-2018 3:29:00 PM PST"
"25-Sep-2020 1:06:03 PM PDT"
"18-Dec-2019 9:40:57 PM PST"
"03-Aug-2018 2:26:29 PM PDT"
"21-Jan-2018 6:27:24 PM PST"
"10-Mar-2018 3:41:39 PM PST"
"02-Oct-2018 12:31:13 PM PDT"
"30-Apr-2020 7:29:23 PM PDT"
"22-Dec-2017 10:53:22 PM PST"
"22-Nov-2017 2:53:22 PM PST"
"03-May-2020 1:32:28 PM PDT"
"27-Mar-2019 8:52:53 PM PDT"
"07-Oct-2020 12:17:58 PM PDT"
"10-Nov-2018 12:24:28 PM PST"
"09-Jul-2019 8:21:52 PM PDT"
"19-Dec-2019 9:50:14 AM PST"
"25-Jul-2018 1:37:56 PM PDT"
"07-Dec-2018 9:40:01 AM PST"
"17-May-2018 11:04:39 AM PDT"
"07-Apr-2018 9:20:41 AM PDT"
"06-Oct-2018 1:19:18 PM PDT"
"29-Jul-2018 12:18:40 PM PDT"
"10-Feb-2019 9:05:09 PM PST"
"15-Dec-2019 9:20:14 AM PST"
"16-Feb-2018 5:05:17 PM PST"
"20-Nov-2017 12:16:18 AM PST"
"30-Sep-2018 12:33:44 PM PDT"
"30-Apr-2020 12:37:28 PM PDT"
"20-Apr-2018 8:48:30 PM PDT"
"05-Feb-2018 4:55:42 PM PST"
"13-May-2020 12:15:10 PM PDT"
"06-Dec-2017 6:05:26 PM PST"
"12-Jul-2019 7:27:58 AM PDT"
"21-Jan-2018 11:25:40 AM PST"
"13-Apr-2020 7:54:35 PM PDT"
